close,high,low,open,date,volume
19237.65912,19311.10467,19017.39234,19157.03132,2020-12-14T00:00:00Z,23342243337
19507.32507,19620.6462,19106.73464,19264.83482,2020-12-15T00:00:00Z,26570685499
21382.55506,21555.98697,19483.41427,19578.8737,2020-12-16T00:00:00Z,43926443588
22825.33534,23606.54422,21274.87973,21312.26153,2020-12-17T00:00:00Z,65677555825
23035.73577,23359.24452,22448.29098,22929.68021,2020-12-18T00:00:00Z,40469255521
23806.88474,24025.18495,22847.83002,23096.75466,2020-12-19T00:00:00Z,38329086447
23532.36383,24184.50038,23044.49371,23756.47847,2020-12-20T00:00:00Z,38078494823
22838.8407,24003.47383,21987.45129,23462.508,2020-12-21T00:00:00Z,44859046147
23738.48452,23820.37049,22540.10276,22915.27102,2020-12-22T00:00:00Z,43182915128
23278.08315,23945.97432,22757.06225,23588.33289,2020-12-23T00:00:00Z,50037036200
23658.56154,23806.88778,22868.24142,23345.74544,2020-12-24T00:00:00Z,40770578420
24638.60672,24756.75182,23470.01443,23705.56895,2020-12-25T00:00:00Z,41103150040
26399.37771,26684.83128,24614.60989,24689.32523,2020-12-26T00:00:00Z,47995424826
26470.34913,28190.24423,26124.94493,26550.05089,2020-12-27T00:00:00Z,64424037088
26995.87183,27334.42544,26283.96978,26693.84469,2020-12-28T00:00:00Z,48357226245
27279.01163,27372.46947,26037.00378,26996.61121,2020-12-29T00:00:00Z,43082817214
28749.31289,28870.22349,27312.81851,27348.16327,2020-12-30T00:00:00Z,49849367938
28973.57447,29385.06329,28046.19688,28760.7299,2020-12-31T00:00:00Z,46321622620
29519.90955,29747.24103,28672.72568,28959.3066,2021-01-01T00:00:00Z,38919942919
32212.4855,33107.15582,29193.50334,29594.27427,2021-01-02T00:00:00Z,64750220116
32914.39053,34353.1637,32460.36931,33038.29138,2021-01-03T00:00:00Z,75445849986
32010.08388,33404.08278,29225.85811,33404.08278,2021-01-04T00:00:00Z,86561156023
33811.73856,34042.72533,30678.27543,32227.08896,2021-01-05T00:00:00Z,72060976408
36898.79339,36944.64043,34010.44242,34402.81163,2021-01-06T00:00:00Z,80467608946
39889.638,40422.58038,36756.83272,37153.04674,2021-01-07T00:00:00Z,92677015514
40762.97647,41790.6477,37249.94624,39539.76159,2021-01-08T00:00:00Z,94441640997
40263.91853,41348.82227,39401.12084,40965.64221,2021-01-09T00:00:00Z,64723749196
37650.73039,40817.25548,35552.67396,40137.49939,2021-01-10T00:00:00Z,83889398285
35079.65229,38093.0986,31021.40728,37810.17267,2021-01-11T00:00:00Z,1.31E+11
34166.99719,36493.51331,32368.29371,34854.07458,2021-01-12T00:00:00Z,82697368546
37024.96474,37454.94969,32723.99382,34230.46565,2021-01-13T00:00:00Z,75829757374
38972.66553,39978.25499,36617.82504,37253.23805,2021-01-14T00:00:00Z,67527090394
36850.56268,39466.04511,34834.02505,38984.00335,2021-01-15T00:00:00Z,73344738185
36218.6004,37823.37265,35475.81947,36930.25849,2021-01-16T00:00:00Z,63427305823
35859.78157,36897.84894,34095.02892,36245.69298,2021-01-17T00:00:00Z,58495206726
36651.29769,37415.30521,35064.86099,35918.18894,2021-01-18T00:00:00Z,54653451058
36041.44054,37463.06732,36041.44054,37092.66638,2021-01-19T00:00:00Z,60374061204
35139.70309,36444.4387,33890.60091,36032.42715,2021-01-20T00:00:00Z,64752872139
31034.6404,34930.13054,30220.6218,34641.92129,2021-01-21T00:00:00Z,72822201784
32902.18125,33613.22359,29511.07509,31361.69026,2021-01-22T00:00:00Z,75869852197
32078.63118,33363.36077,31594.56524,32881.69346,2021-01-23T00:00:00Z,48342362061
32372.12392,33073.94583,31750.20745,32600.74437,2021-01-24T00:00:00Z,47036865955
32554.94867,34089.89678,31890.09944,32156.80748,2021-01-25T00:00:00Z,57194877884
32295.20061,33075.72713,31143.49072,32653.93969,2021-01-26T00:00:00Z,54039186311
30515.18499,32341.96693,29507.32421,32126.11478,2021-01-27T00:00:00Z,57160863797
33478.58811,33756.46445,30331.51073,30721.01076,2021-01-28T00:00:00Z,60661625608
34520.16544,37907.61122,32572.53401,33449.83489,2021-01-29T00:00:00Z,1.08E+11
34148.53361,35208.48331,33034.41383,34731.45646,2021-01-30T00:00:00Z,62130772639
33055.53328,34204.4955,32335.91457,34009.42977,2021-01-31T00:00:00Z,49880116581
33495.38106,34559.71673,32654.32137,33215.95601,2021-02-01T00:00:00Z,56935974195
35399.64198,35746.07072,34043.00452,34043.00452,2021-02-02T00:00:00Z,56468085800
37313.20305,37431.47997,35852.82309,35861.78244,2021-02-03T00:00:00Z,58275254802
36926.62918,38256.92108,36315.99491,37281.20748,2021-02-04T00:00:00Z,61546906232
38222.1641,38222.1641,37042.8527,37318.44426,2021-02-05T00:00:00Z,55952381642
39398.02886,40253.0155,38194.18898,38194.18898,2021-02-06T00:00:00Z,67275421364
38985.0219,39886.93652,37769.29601,39220.05655,2021-02-07T00:00:00Z,62770310535
45969.90525,45969.90525,39175.44624,39316.98598,2021-02-08T00:00:00Z,96979775004
46348.40218,47596.65401,45002.74468,45989.25519,2021-02-09T00:00:00Z,90803388630
44912.3613,46866.1568,44343.03258,46542.07059,2021-02-10T00:00:00Z,80550672954
47876.85096,48201.17497,44586.91843,45016.36392,2021-02-11T00:00:00Z,75839201086
47364.04837,48690.62561,46757.54427,48155.13396,2021-02-12T00:00:00Z,72502637785
47262.27926,47981.01289,46612.34632,47299.08363,2021-02-13T00:00:00Z,67545347881
48666.00561,49360.23941,47250.04392,47279.99333,2021-02-14T00:00:00Z,68363326092
48008.24903,48889.16486,46204.48828,48478.59807,2021-02-15T00:00:00Z,71841612028
49341.91157,50438.99947,47348.71138,48069.79486,2021-02-16T00:00:00Z,74052538141
51992.77993,52273.49767,49511.77783,49628.31756,2021-02-17T00:00:00Z,77170580991
51658.03051,52499.68106,51658.03051,52499.68106,2021-02-18T00:00:00Z,67341084500
55515.32427,55515.32427,53971.20219,54302.86956,2021-02-19T00:00:00Z,82039749458
